resp_rate,heart_rate,resp_rate,heart_rate,resp_rate,heart_rate,resp_rate,heart_rate,resp_rate,heart_rate,resp_rate,heart_rate,resp_rate,heart_rate
37.97468354,157.8947368,31.57894737,125,21.58273381,136.3636364,37.5,142.8571429,24.19354839,176.4705882,44.7761194,136.3636364,28.03738318,107.1428571
49.18032787,157.8947368,57.69230769,125,56.60377358,125,34.88372093,166.6666667,46.15384615,157.8947368,45.45454545,136.3636364,51.72413793,176.4705882
25,166.6666667,47.61904762,115.3846154,58.82352941,130.4347826,41.09589041,157.8947368,30.6122449,166.6666667,43.47826087,130.4347826,25.21008403,166.6666667
46.875,157.8947368,50,115.3846154,34.88372093,125,30.6122449,157.8947368,37.5,166.6666667,44.11764706,130.4347826,32.60869565,130.4347826
50,150,57.69230769,150,46.15384615,125,26.08695652,157.8947368,41.09589041,157.8947368,47.61904762,130.4347826,27.27272727,142.8571429
53.57142857,150,58.82352941,111.1111111,34.09090909,136.3636364,24.79338843,166.6666667,33.33333333,142.8571429,29.12621359,125,37.5,150
34.09090909,142.8571429,30.92783505,150,36.58536585,115.3846154,32.25806452,157.8947368,25.42372881,142.8571429,43.47826087,125,37.03703704,142.8571429
33.70786517,150,57.69230769,130.4347826,21.73913043,136.3636364,32.96703297,166.6666667,58.82352941,142.8571429,42.85714286,130.4347826,30,157.8947368
53.57142857,142.8571429,58.82352941,120,54.54545455,120,53.57142857,166.6666667,21.89781022,150,40,166.6666667,54.54545455,150
42.25352113,142.8571429,31.25,120,44.7761194,136.3636364,41.09589041,157.8947368,36.14457831,142.8571429,50.84745763,142.8571429,31.25,150
58.82352941,150,47.61904762,130.4347826,21.73913043,142.8571429,44.11764706,157.8947368,37.03703704,150,42.85714286,142.8571429,52.63157895,150
50.84745763,157.8947368,53.57142857,150,51.72413793,120,30.92783505,157.8947368,41.09589041,150,44.11764706,136.3636364,37.5,150
47.61904762,150,36.14457831,150,57.69230769,130.4347826,35.29411765,157.8947368,45.45454545,150,46.875,136.3636364,36.14457831,150
45.45454545,150,42.85714286,120,56.60377358,120,39.47368421,157.8947368,35.71428571,142.8571429,47.61904762,136.3636364,40,142.8571429
22.3880597,157.8947368,47.61904762,120,53.57142857,115.3846154,34.09090909,150,37.97468354,142.8571429,44.7761194,136.3636364,55.55555556,136.3636364
37.5,157.8947368,49.18032787,111.1111111,55.55555556,130.4347826,43.47826087,157.8947368,26.54867257,142.8571429,43.47826087,136.3636364,47.61904762,142.8571429
53.57142857,150,42.85714286,115.3846154,42.85714286,130.4347826,37.03703704,157.8947368,33.33333333,142.8571429,46.15384615,130.4347826,50,142.8571429
48.38709677,157.8947368,46.875,115.3846154,57.69230769,115.3846154,31.25,150,26.08695652,142.8571429,48.38709677,136.3636364,46.15384615,142.8571429
55.55555556,150,45.45454545,120,39.47368421,130.4347826,50,150,30,142.8571429,45.45454545,130.4347826,40.54054054,142.8571429
45.45454545,150,42.25352113,115.3846154,50.84745763,136.3636364,33.70786517,157.8947368,42.25352113,136.3636364,53.57142857,130.4347826,25.42372881,150
41.66666667,157.8947368,58.82352941,120,46.875,130.4347826,56.60377358,157.8947368,52.63157895,136.3636364,41.66666667,130.4347826,53.57142857,142.8571429
51.72413793,166.6666667,38.96103896,120,37.03703704,111.1111111,33.33333333,157.8947368,41.09589041,142.8571429,42.25352113,130.4347826,37.5,142.8571429
36.58536585,166.6666667,32.60869565,136.3636364,60,136.3636364,56.60377358,150,44.7761194,150,45.45454545,136.3636364,53.57142857,142.8571429
55.55555556,166.6666667,57.69230769,130.4347826,36.58536585,136.3636364,44.11764706,150,29.12621359,142.8571429,42.25352113,136.3636364,51.72413793,142.8571429
51.72413793,157.8947368,55.55555556,142.8571429,46.15384615,115.3846154,46.875,150,42.85714286,142.8571429,44.7761194,130.4347826,42.85714286,142.8571429
48.38709677,157.8947368,55.55555556,120,51.72413793,115.3846154,60,157.8947368,40,130.4347826,46.875,136.3636364,23.62204724,142.8571429
28.57142857,157.8947368,50,115.3846154,36.58536585,125,46.15384615,157.8947368,58.82352941,142.8571429,41.66666667,130.4347826,60,150
40.54054054,157.8947368,58.82352941,130.4347826,37.03703704,130.4347826,56.60377358,157.8947368,27.77777778,130.4347826,43.47826087,130.4347826,46.875,157.8947368
46.875,157.8947368,60,130.4347826,50,115.3846154,48.38709677,157.8947368,30.6122449,142.8571429,60,142.8571429,20.54794521,157.8947368
49.18032787,150,37.97468354,125,35.29411765,130.4347826,56.60377358,150,50.84745763,130.4347826,39.47368421,142.8571429,30.6122449,157.8947368
42.85714286,150,60,130.4347826,47.61904762,125,25.21008403,157.8947368,50,142.8571429,33.33333333,150,37.03703704,176.4705882
26.78571429,157.8947368,40,166.6666667,50,136.3636364,37.97468354,157.8947368,27.77777778,136.3636364,57.69230769,136.3636364,30,150
46.15384615,157.8947368,53.57142857,166.6666667,46.15384615,115.3846154,26.54867257,157.8947368,27.02702703,136.3636364,29.41176471,136.3636364,38.96103896,176.4705882
23.4375,150,53.57142857,150,55.55555556,125,31.91489362,150,54.54545455,136.3636364,60,125,32.25806452,150
57.69230769,150,29.7029703,107.1428571,53.57142857,130.4347826,28.30188679,157.8947368,36.58536585,136.3636364,51.72413793,130.4347826,35.29411765,166.6666667
43.47826087,166.6666667,28.84615385,125,32.96703297,136.3636364,43.47826087,157.8947368,57.69230769,142.8571429,22.90076336,136.3636364,43.47826087,157.8947368
32.96703297,166.6666667,50.84745763,150,47.61904762,120,31.25,157.8947368,30.92783505,130.4347826,28.84615385,130.4347826,28.03738318,157.8947368
44.11764706,166.6666667,36.58536585,111.1111111,43.47826087,130.4347826,53.57142857,157.8947368,52.63157895,136.3636364,54.54545455,125,49.18032787,157.8947368
27.77777778,142.8571429,52.63157895,107.1428571,28.03738318,150,41.09589041,157.8947368,30.92783505,136.3636364,31.57894737,130.4347826,32.60869565,142.8571429
53.57142857,157.8947368,50,125,32.96703297,111.1111111,46.875,157.8947368,26.54867257,136.3636364,46.875,130.4347826,48.38709677,157.8947368
46.15384615,166.6666667,30.92783505,125,44.7761194,142.8571429,50,142.8571429,42.85714286,136.3636364,58.82352941,130.4347826,53.57142857,150
43.47826087,157.8947368,45.45454545,115.3846154,41.66666667,130.4347826,41.09589041,166.6666667,42.25352113,157.8947368,34.48275862,130.4347826,49.18032787,166.6666667
29.41176471,157.8947368,42.85714286,120,49.18032787,136.3636364,48.38709677,157.8947368,50.84745763,142.8571429,52.63157895,130.4347826,20.83333333,157.8947368
